account_id,name,risk_score,dpd,total_debt,due_date,loan_type,region,last_payment_date,payment_frequency,partial_payments_count,payment_channel,last_contact_channel,response_time_avg,bot_interaction_score,call_pickup_rate,occupation_type,region_income_level,loan_purpose,stage_last_contacted,touchpoints_count,recommended_next_action,age,monthly_income,last_payment_days_ago,contact_channel,response_behavior,risk_level,dpd_bucket,income_level,ai_risk_score,last_contact_date,recovered
ACCT00011,User_11,0.0,15,75358.48519845514,2025-07-26,Home Loan,Bangkok,2025-07-03,Irregular,4,ATM,LINE,51,0.01,0.04,Unemployed,High,Consumption,Stage 0,3,LINE Bot,41,62077.94438907831,10,None,Slow,High,8–30,High,0.7619664361528207,2025-07-13,1
ACCT00012,User_12,0.018540492859486224,14,85636.41485721152,2025-06-17,Personal Loan,South,2025-06-28,Weekly,5,BankBranch,Email,41,0.44,0.98,Freelancer,Medium,Consumption,Stage 2,2,Escalate,48,14264.368488457245,35,None,Slow,High,8–30,Low,0.6146709562701173,2025-06-14,0
ACCT00013,User_13,1.0039245431320682,9,54741.948069705286,2025-07-12,SME Loan,Bangkok,2025-07-03,Monthly,5,BankBranch,LINE,35,0.68,0.88,Unemployed,High,Investment,Stage 1,4,Escalate,45,67406.98399328564,46,Voice,Ignored,High,0–7,High,0.9601756730979629,2025-06-19,0
ACCT00014,User_14,0.0,13,91597.13393555995,2025-07-03,Home Loan,Bangkok,2025-06-17,Weekly,3,MobileApp,Phone,72,0.52,0.4,Unemployed,Low,Consumption,Stage 2,9,Call,50,78355.64417298356,48,SMS,Responsive,High,8–30,High,0.7852463336607803,2025-07-07,1
ACCT00015,User_15,0.0,25,93678.52598835083,2025-07-01,Credit Card,South,2025-05-26,Monthly,0,BankBranch,LINE,3,0.17,0.89,Business Owner,High,Investment,Stage 2,5,Send SMS,22,77694.67015110311,11,LINE,Responsive,Low,8–30,High,0.8115321814090333,2025-07-08,1
ACCT00016,User_16,0.0,2,4416.451169910398,2025-08-07,Home Loan,Northeast,2025-06-01,Irregular,0,BankBranch,LINE,67,0.33,0.46,Unemployed,Low,Investment,Stage 1,9,Call,42,55163.15467434334,0,LINE,Responsive,High,0–7,High,0.9497647288411539,2025-07-08,1
ACCT00017,User_17,0.0,31,78950.76094242299,2025-07-04,Car Loan,North,2025-06-01,Monthly,5,ATM,Email,33,0.82,0.34,Freelancer,Medium,Consumption,Stage 0,2,Escalate,30,45878.2722333703,13,SMS,Responsive,High,8–30,High,0.4679050098856197,2025-07-04,1
ACCT00018,User_18,1.0984946651905476,14,15597.09860391191,2025-07-26,Car Loan,Central,2025-06-17,Monthly,5,LINE,Email,33,0.81,0.54,Salaried,Low,Investment,Stage 1,4,Escalate,35,20383.683214043092,33,None,Ignored,High,8–30,Mid,0.6208435582106946,2025-06-28,1
ACCT00019,User_19,0.0,12,97362.885436962,2025-07-20,Car Loan,North,2025-05-29,Irregular,0,LINE,SMS,43,0.1,0.67,Business Owner,Low,Investment,Stage 0,5,Send SMS,45,12759.338434773254,36,None,Ignored,Low,8–30,Low,0.843106499983988,2025-07-01,1
ACCT00020,User_20,0.0,9,96021.97828619633,2025-06-28,SME Loan,Northeast,2025-07-06,Irregular,4,ATM,SMS,71,0.56,0.39,Salaried,High,Investment,Stage 0,5,Call,24,61686.00302099202,20,LINE,Ignored,Medium,8–30,High,0.7279629453024508,2025-07-05,1
ACCT00021,User_21,3.291297537843108,7,85067.49065031405,2025-08-02,Home Loan,Bangkok,2025-05-21,Irregular,0,LINE,LINE,39,0.78,0.6,Freelancer,Medium,Consumption,Stage 2,8,LINE Bot,57,47677.032318270045,60,LINE,Slow,Low,8–30,High,0.7588418450024619,2025-06-25,0
ACCT00022,User_22,0.40844739902692867,1,90301.45814781918,2025-07-11,Personal Loan,Bangkok,2025-05-24,Monthly,0,BankBranch,Phone,58,0.79,0.8,Unemployed,High,Emergency,Stage 0,9,Call,38,57290.23032010844,67,None,Ignored,Medium,0–7,High,0.9052976639855083,2025-07-09,1
ACCT00023,User_23,0.48505640937584765,16,64642.022345783735,2025-07-01,SME Loan,North,2025-05-28,Monthly,1,BankBranch,Email,32,0.0,0.1,Unemployed,High,Consumption,Stage 2,2,LINE Bot,58,74528.61461353129,8,None,Ignored,Low,8–30,High,0.6762815103810247,2025-07-05,1
ACCT00024,User_24,0.0,27,89238.64594608087,2025-07-25,SME Loan,South,2025-05-11,Irregular,0,LINE,SMS,50,0.52,0.86,Unemployed,Low,Consumption,Stage 0,3,LINE Bot,24,41179.01737736015,28,SMS,Ignored,Medium,8–30,High,0.7980121047561137,2025-07-03,1
ACCT00025,User_25,0.0,17,85570.65146500233,2025-08-06,Car Loan,North,2025-05-17,Weekly,4,ATM,LINE,46,0.27,0.85,Freelancer,Medium,Investment,Stage 0,2,LINE Bot,47,41124.096854630276,3,Voice,Responsive,Medium,8–30,High,1.0,2025-06-30,1
ACCT00026,User_26,0.7118451794197321,25,86815.83230815838,2025-06-17,SME Loan,Central,2025-06-27,Weekly,4,BankBranch,Email,70,0.11,0.66,Freelancer,High,Consumption,Stage 1,4,Escalate,30,18500.34438977394,82,Voice,Ignored,Medium,8–30,Mid,0.8653097600315521,2025-06-20,0
ACCT00027,User_27,0.0,0,99838.98284637928,2025-08-04,Credit Card,North,2025-05-25,Monthly,2,ATM,LINE,72,0.18,0.72,Freelancer,High,Consumption,Stage 1,10,Call,38,26009.978394036807,16,LINE,Responsive,Medium,0–7,Mid,0.5093606743230564,2025-07-08,1
ACCT00028,User_28,0.801396036691344,9,23634.68530528474,2025-08-06,Personal Loan,Central,2025-06-21,Weekly,4,ATM,LINE,29,0.54,0.45,Business Owner,High,Consumption,Stage 2,8,Send SMS,34,39243.327227047346,75,SMS,Slow,Medium,8–30,High,0.601194815912272,2025-06-28,1
ACCT00029,User_29,0.0,22,34980.24861818624,2025-07-15,Home Loan,Northeast,2025-06-27,Irregular,1,ATM,SMS,36,0.33,0.99,Freelancer,High,Emergency,Stage 1,10,Escalate,32,35258.16287744994,56,LINE,Slow,High,8–30,Mid,0.7057615144970476,2025-06-26,1
ACCT00030,User_30,0.3866125004134464,24,93460.9659873949,2025-06-16,SME Loan,Bangkok,2025-06-06,Weekly,3,MobileApp,Email,52,0.31,0.96,Freelancer,Medium,Consumption,Stage 0,6,LINE Bot,20,17010.029783410493,16,LINE,Responsive,Low,8–30,Mid,0.8002901799852531,2025-07-12,1
ACCT00031,User_31,0.0,19,61319.75894621392,2025-06-27,Home Loan,Central,2025-06-14,Monthly,5,MobileApp,Email,13,0.95,0.04,Freelancer,Low,Consumption,Stage 2,1,Send SMS,56,41385.34666204434,77,None,Ignored,Medium,8–30,High,0.6852772840793907,2025-06-25,0
ACCT00032,User_32,3.7345563690178754,31,60761.075775667116,2025-06-12,Home Loan,Northeast,2025-05-15,Irregular,0,MobileApp,SMS,23,0.02,0.57,Freelancer,Low,Investment,Stage 0,9,Send SMS,29,48177.05423704858,74,Voice,Responsive,High,8–30,High,0.8650867672151468,2025-07-08,1
ACCT00033,User_33,0.5830055505241322,21,95599.93065635636,2025-07-15,Home Loan,Northeast,2025-06-21,Weekly,1,BankBranch,Email,45,0.06,0.98,Salaried,Medium,Emergency,Stage 1,1,LINE Bot,44,39926.19577059366,51,None,Slow,High,8–30,High,0.5246200125357097,2025-07-12,1
ACCT00034,User_34,0.0,16,72000.75892948765,2025-06-21,Car Loan,North,2025-07-05,Irregular,2,BankBranch,Phone,7,0.66,0.47,Business Owner,Low,Consumption,Stage 1,6,LINE Bot,26,35380.50856840119,29,LINE,Ignored,Medium,8–30,Mid,0.6407686991443291,2025-06-15,0
ACCT00035,User_35,2.1050898242063782,7,83531.19907853992,2025-06-15,Personal Loan,Central,2025-06-28,Monthly,3,LINE,SMS,6,0.87,0.33,Salaried,High,Consumption,Stage 1,9,Escalate,64,28843.564540919433,24,Voice,Responsive,Medium,0–7,Mid,0.7443146848234168,2025-06-15,0
ACCT00036,User_36,0.0,9,42015.65736621424,2025-06-27,SME Loan,Central,2025-06-20,Irregular,1,BankBranch,LINE,63,0.03,0.58,Unemployed,Medium,Investment,Stage 2,1,Send SMS,23,13240.48055961003,80,LINE,Responsive,Medium,8–30,Low,0.757887238011649,2025-06-19,0
ACCT00037,User_37,1.0677271900095109,28,24630.088944510295,2025-07-17,Home Loan,Bangkok,2025-06-26,Monthly,4,ATM,SMS,37,0.54,0.84,Freelancer,Low,Consumption,Stage 0,8,Send SMS,42,27826.57426568623,59,None,Ignored,Low,8–30,Mid,0.9437018979007222,2025-07-04,1
ACCT00038,User_38,0.0,12,74393.79963580993,2025-06-22,Credit Card,South,2025-06-23,Weekly,0,BankBranch,SMS,35,0.72,0.79,Freelancer,Low,Consumption,Stage 0,6,Escalate,34,50882.359998295105,34,Voice,Responsive,Medium,8–30,High,0.956265693139934,2025-07-11,1
ACCT00039,User_39,0.0,11,72865.60612605183,2025-07-11,Car Loan,Bangkok,2025-06-12,Irregular,3,BankBranch,LINE,35,0.76,0.73,Business Owner,Low,Investment,Stage 1,3,Escalate,57,44291.457101318825,57,LINE,Ignored,Low,8–30,High,0.7924776998562231,2025-06-23,0
ACCT00040,User_40,0.973722471738247,12,90364.9890439153,2025-08-04,Credit Card,Bangkok,2025-06-11,Monthly,5,ATM,LINE,33,0.19,0.74,Unemployed,High,Emergency,Stage 0,8,Escalate,61,40040.10612775663,33,LINE,Responsive,Low,8–30,Mid,0.897663363795178,2025-06-30,1
ACCT00041,User_41,1.6869331599908208,26,39999.49730997446,2025-06-25,Credit Card,Central,2025-06-27,Weekly,0,ATM,SMS,69,0.45,0.25,Unemployed,High,Investment,Stage 0,4,Send SMS,46,58784.71395442519,20,LINE,Ignored,High,8–30,High,0.839981916322755,2025-07-10,1
ACCT00042,User_42,0.942736562379941,33,74502.00631169918,2025-06-29,Credit Card,Central,2025-07-10,Weekly,2,MobileApp,Email,50,0.84,0.12,Salaried,Medium,Consumption,Stage 2,1,Call,55,38824.462248194664,10,SMS,Ignored,High,8–30,Mid,0.47615458336713345,2025-06-29,1
ACCT00043,User_43,0.18870343522351893,6,8048.917589416482,2025-08-07,SME Loan,Bangkok,2025-05-14,Irregular,1,MobileApp,Phone,6,0.18,0.82,Unemployed,Low,Investment,Stage 1,5,Call,49,34045.05388122347,56,LINE,Slow,Medium,0–7,Mid,0.966592284692236,2025-07-12,1
ACCT00044,User_44,0.09779260882142238,11,91827.85478058964,2025-07-20,Home Loan,Northeast,2025-05-31,Irregular,5,LINE,Phone,65,0.95,0.92,Unemployed,Medium,Investment,Stage 0,7,LINE Bot,54,55164.00791504816,69,SMS,Ignored,High,8–30,High,0.7737435281932687,2025-06-16,0
ACCT00045,User_45,0.0,0,94921.98382220196,2025-07-25,SME Loan,Northeast,2025-06-25,Weekly,5,BankBranch,Email,19,0.52,0.64,Business Owner,Medium,Investment,Stage 0,10,Escalate,41,16878.660382839993,86,Voice,Ignored,Low,0–7,Mid,0.9265611762978662,2025-07-06,1
ACCT00046,User_46,0.0,19,77618.09600170383,2025-06-15,Personal Loan,Central,2025-05-13,Monthly,3,MobileApp,LINE,11,0.31,0.89,Salaried,Medium,Consumption,Stage 1,10,Send SMS,25,20850.683147905802,19,None,Ignored,Low,8–30,Mid,0.6614216100080561,2025-06-24,0
ACCT00047,User_47,0.05872245808042498,22,14538.274414336225,2025-06-26,Personal Loan,Northeast,2025-06-21,Monthly,2,ATM,LINE,15,0.97,0.7,Unemployed,Medium,Emergency,Stage 1,3,Escalate,30,25917.045216236114,13,SMS,Ignored,Low,8–30,Mid,0.8685102729796738,2025-07-04,1
ACCT00048,User_48,2.9342444524378313,19,25167.154572839787,2025-07-28,Personal Loan,North,2025-06-05,Irregular,5,LINE,Phone,40,0.63,0.05,Business Owner,High,Investment,Stage 2,10,LINE Bot,22,34040.15358803119,35,LINE,Responsive,Medium,8–30,Mid,0.7295593027199145,2025-06-28,1
ACCT00049,User_49,1.1472365791369228,26,19405.30646362802,2025-06-20,Personal Loan,South,2025-05-26,Irregular,0,BankBranch,LINE,57,0.13,0.29,Unemployed,High,Investment,Stage 0,8,LINE Bot,48,42567.72500671922,44,SMS,Responsive,Medium,8–30,High,0.852437230095885,2025-06-27,1
ACCT00050,User_50,0.0,21,8226.533349669382,2025-07-19,Car Loan,Central,2025-06-03,Irregular,1,MobileApp,Email,29,0.08,0.97,Freelancer,Medium,Emergency,Stage 0,8,Escalate,38,64517.294336128085,75,None,Responsive,High,8–30,High,0.976266420753731,2025-07-08,1
ACCT00051,User_51,0.87816793878959,23,5071.613976534626,2025-07-28,Home Loan,North,2025-06-13,Irregular,4,BankBranch,Phone,61,0.79,0.35,Business Owner,Low,Investment,Stage 1,6,LINE Bot,43,75286.64160738245,0,LINE,Responsive,High,8–30,High,0.6945812729000473,2025-06-14,0
ACCT00052,User_52,0.0,31,41025.59955060133,2025-07-05,Home Loan,Bangkok,2025-06-10,Monthly,0,ATM,Email,51,0.84,0.67,Salaried,High,Emergency,Stage 0,9,Call,36,32659.56341154267,81,SMS,Ignored,Medium,8–30,Mid,0.9870233093525417,2025-06-20,0
ACCT00053,User_53,0.0,28,60098.816670839704,2025-07-02,Home Loan,Central,2025-06-22,Weekly,1,LINE,Email,17,0.88,0.65,Unemployed,Low,Investment,Stage 0,3,Escalate,50,73179.47334339118,74,LINE,Slow,Low,8–30,High,0.6168332046390526,2025-06-15,0
ACCT00054,User_54,1.8433525776817357,21,93328.70938825677,2025-07-25,Home Loan,Bangkok,2025-07-07,Irregular,5,LINE,SMS,18,0.96,0.31,Salaried,Low,Consumption,Stage 1,6,Send SMS,23,22340.50899780524,81,None,Ignored,Medium,8–30,Mid,0.574573700438634,2025-06-17,0
ACCT00055,User_55,2.461999044991902,13,75801.2360776358,2025-07-26,SME Loan,Northeast,2025-06-19,Monthly,0,MobileApp,SMS,35,0.71,0.79,Salaried,Medium,Emergency,Stage 2,3,LINE Bot,64,9637.45927807042,44,Voice,Slow,Low,8–30,Low,0.5856683839172858,2025-06-26,1
ACCT00056,User_56,2.762560238232397,28,77770.1968989124,2025-06-30,Personal Loan,Central,2025-06-27,Irregular,5,LINE,LINE,12,0.12,0.72,Freelancer,High,Investment,Stage 2,8,LINE Bot,23,60788.19635154333,24,SMS,Responsive,Low,8–30,High,0.6975693970514995,2025-06-16,0
ACCT00057,User_57,0.0,34,7598.063338850896,2025-06-28,Home Loan,Northeast,2025-06-13,Weekly,5,MobileApp,LINE,56,0.68,0.51,Business Owner,Low,Consumption,Stage 0,10,Escalate,55,46424.55216254379,27,LINE,Slow,High,8–30,High,0.5741870502891064,2025-07-11,1
ACCT00058,User_58,0.2315752482975708,34,88886.91284985309,2025-07-18,Credit Card,Bangkok,2025-06-12,Monthly,4,BankBranch,SMS,9,0.59,0.86,Freelancer,High,Consumption,Stage 0,9,Call,53,29360.900058225434,87,None,Slow,Low,8–30,Mid,0.9603891651103776,2025-07-08,1
ACCT00059,User_59,0.8525268628071279,11,11884.61558762793,2025-06-10,Car Loan,Northeast,2025-06-03,Weekly,0,MobileApp,Email,70,0.86,0.91,Salaried,Low,Consumption,Stage 1,4,Call,27,50820.0313747454,35,None,Slow,High,8–30,High,0.8572297551078555,2025-07-12,1
ACCT00060,User_60,2.2910902542447182,14,62873.71286635222,2025-07-23,Car Loan,Northeast,2025-06-23,Irregular,0,ATM,Email,61,0.2,0.32,Salaried,High,Emergency,Stage 0,3,Escalate,44,31801.861004389448,70,None,Ignored,High,8–30,Mid,0.991522199153553,2025-07-04,1
ACCT00061,User_61,0.0,33,52158.10435818711,2025-08-01,Car Loan,Central,2025-07-07,Irregular,0,LINE,Email,11,0.41,0.78,Business Owner,Low,Emergency,Stage 2,2,Call,21,17682.105867587372,38,Voice,Slow,Low,8–30,Mid,0.5738962230903849,2025-07-02,1
ACCT00062,User_62,0.2986820466723658,0,47962.22169877991,2025-07-17,SME Loan,South,2025-06-01,Weekly,1,MobileApp,Email,48,0.25,0.48,Unemployed,High,Consumption,Stage 2,4,Escalate,49,31319.910087517896,15,Voice,Responsive,High,0–7,Mid,0.9109382358897627,2025-07-05,1
ACCT00063,User_63,0.0,11,56611.49536217771,2025-06-26,Credit Card,Bangkok,2025-05-18,Monthly,5,BankBranch,Phone,71,0.5,0.14,Freelancer,High,Investment,Stage 1,6,Send SMS,33,16315.617659640116,62,Voice,Ignored,High,8–30,Mid,0.5832951183626395,2025-06-19,0
ACCT00064,User_64,0.0,34,12416.713274506772,2025-07-18,Credit Card,Central,2025-05-23,Weekly,1,LINE,Phone,44,0.44,0.26,Salaried,High,Consumption,Stage 2,3,Escalate,35,15209.753838837267,53,SMS,Responsive,Medium,8–30,Mid,0.8631787057339686,2025-07-03,1
ACCT00065,User_65,1.895051644788396,25,20564.42663475396,2025-07-17,Credit Card,Central,2025-06-26,Monthly,5,LINE,Phone,21,0.39,0.15,Business Owner,High,Consumption,Stage 2,1,Send SMS,53,10742.061957000235,78,SMS,Ignored,High,8–30,Low,0.8648730355108034,2025-07-05,1
ACCT00066,User_66,3.462480057141646,20,69520.13027814467,2025-08-08,Home Loan,Bangkok,2025-06-08,Irregular,5,ATM,LINE,70,0.96,0.12,Salaried,Medium,Consumption,Stage 2,10,Escalate,31,37644.403694348315,14,SMS,Responsive,High,8–30,Mid,0.8059024667227057,2025-06-27,1
ACCT00067,User_67,0.7759797568393323,13,10907.814183194127,2025-07-19,Home Loan,South,2025-06-04,Weekly,5,BankBranch,Email,48,0.47,0.33,Unemployed,Low,Investment,Stage 0,1,LINE Bot,27,23072.497987571354,45,SMS,Slow,High,8–30,Mid,0.9806279173106555,2025-07-09,1
ACCT00068,User_68,2.1070657957840484,25,91107.94348876017,2025-06-22,Credit Card,South,2025-06-14,Weekly,1,BankBranch,SMS,12,0.2,0.02,Unemployed,Medium,Consumption,Stage 1,5,Call,57,37804.13417687115,64,None,Slow,Low,8–30,Mid,0.6621515661279902,2025-06-19,0
ACCT00069,User_69,0.7532720500952683,9,55816.506782682576,2025-07-19,Home Loan,Central,2025-05-31,Weekly,1,ATM,Phone,72,0.09,0.89,Salaried,Medium,Investment,Stage 0,10,Call,49,59758.36644258192,4,SMS,Responsive,Medium,0–7,High,0.9195887888529899,2025-07-11,1
ACCT00070,User_70,0.0,25,52025.34847760396,2025-07-30,Personal Loan,Central,2025-06-12,Irregular,0,MobileApp,SMS,66,0.66,0.15,Business Owner,Medium,Emergency,Stage 1,8,Call,35,70869.00361251783,4,None,Slow,Medium,8–30,High,0.6157836734623745,2025-06-14,0
ACCT00071,User_71,0.9327912110168278,0,85244.88454734767,2025-06-10,Credit Card,Northeast,2025-06-21,Monthly,0,ATM,Email,17,0.05,0.28,Salaried,High,Investment,Stage 0,5,Call,37,23890.117385193047,29,SMS,Responsive,Medium,0–7,Mid,0.5064215301740336,2025-06-20,0
ACCT00072,User_72,3.1960731329319385,24,64178.16937036671,2025-07-23,Personal Loan,Bangkok,2025-07-09,Weekly,4,ATM,Email,49,0.95,0.24,Salaried,Medium,Emergency,Stage 1,8,LINE Bot,65,60888.63436816481,84,Voice,Slow,Low,8–30,High,0.5756066109529807,2025-07-08,1
ACCT00073,User_73,0.7483479217800969,1,76982.36294722483,2025-08-03,Credit Card,Bangkok,2025-06-25,Monthly,0,ATM,SMS,41,0.29,0.81,Unemployed,Medium,Investment,Stage 1,10,Call,25,65423.42855451752,78,LINE,Ignored,Low,0–7,High,0.862190520904172,2025-07-13,1
ACCT00074,User_74,4.119287311628012,14,33020.44749898923,2025-07-15,Car Loan,North,2025-06-22,Irregular,3,ATM,Phone,44,0.88,0.45,Unemployed,Low,Investment,Stage 2,9,Call,31,44299.87107605389,7,SMS,Slow,Low,8–30,High,0.6288925253231752,2025-06-19,0
ACCT00075,User_75,0.0,0,77891.10326271299,2025-07-08,Car Loan,North,2025-06-12,Monthly,5,BankBranch,LINE,56,0.01,0.63,Business Owner,High,Emergency,Stage 1,7,Send SMS,40,14337.398393739833,20,Voice,Ignored,Medium,0–7,Low,0.8040169018623142,2025-06-22,1
ACCT00076,User_76,2.4838050087504477,0,32960.41064922465,2025-06-30,Personal Loan,Central,2025-05-11,Monthly,1,BankBranch,SMS,59,0.84,0.38,Business Owner,Medium,Emergency,Stage 2,6,Call,50,50594.32324604366,6,Voice,Slow,High,0–7,High,0.6920158214528961,2025-06-22,0
ACCT00077,User_77,0.9540941364763424,20,56564.67227527785,2025-08-01,Personal Loan,Bangkok,2025-06-10,Monthly,3,BankBranch,SMS,3,0.63,0.7,Unemployed,Medium,Emergency,Stage 0,8,Send SMS,28,74241.39904797588,12,None,Slow,Low,8–30,High,0.8608257491117488,2025-06-20,0
ACCT00078,User_78,0.0,4,83094.1385674289,2025-06-21,Personal Loan,South,2025-07-08,Weekly,1,MobileApp,Phone,72,0.86,0.71,Freelancer,High,Investment,Stage 2,4,Call,35,60682.7103902674,50,Voice,Ignored,Medium,8–30,High,0.5607431779731649,2025-07-11,1
ACCT00079,User_79,0.39352155307100456,7,66159.76424957451,2025-07-26,SME Loan,North,2025-07-02,Monthly,4,LINE,SMS,66,0.73,0.38,Business Owner,Low,Emergency,Stage 2,3,Send SMS,51,68171.76654686102,26,SMS,Responsive,High,0–7,High,0.5566887702969705,2025-07-03,1
ACCT00080,User_80,0.0,28,94590.37583781722,2025-06-26,Credit Card,North,2025-07-07,Monthly,0,LINE,Phone,36,0.39,0.23,Business Owner,Medium,Consumption,Stage 2,8,Escalate,24,25694.495751195074,12,LINE,Ignored,Medium,8–30,Mid,0.8595614379671288,2025-07-10,1
ACCT00081,User_81,0.0,30,40332.44103540276,2025-06-29,SME Loan,Central,2025-06-01,Irregular,3,BankBranch,LINE,10,0.38,0.7,Business Owner,High,Consumption,Stage 0,4,Send SMS,58,15581.666915069087,80,SMS,Ignored,High,8–30,Mid,0.8801282096881193,2025-06-18,0
ACCT00082,User_82,0.7542251430234929,19,87772.7573015711,2025-07-12,SME Loan,South,2025-06-01,Weekly,0,MobileApp,Email,14,0.16,0.92,Freelancer,Low,Investment,Stage 1,2,Escalate,46,63305.14150266284,43,None,Slow,Low,8–30,High,0.512718491344367,2025-06-25,0
ACCT00083,User_83,3.855788089483032,1,74005.07078452897,2025-07-23,Home Loan,Northeast,2025-05-29,Monthly,5,MobileApp,LINE,52,0.86,0.56,Salaried,Medium,Consumption,Stage 0,6,Escalate,50,9646.615317671767,40,Voice,Ignored,High,0–7,Low,0.6216893357277989,2025-07-04,1
ACCT00084,User_84,0.0,26,60535.99484300158,2025-06-16,Car Loan,North,2025-06-21,Irregular,0,ATM,Email,63,0.51,0.3,Freelancer,Low,Consumption,Stage 0,9,Call,32,61325.21774622173,4,None,Slow,High,8–30,High,0.7086149101248984,2025-07-12,1
ACCT00085,User_85,0.0,14,43243.98774609735,2025-07-06,Car Loan,Northeast,2025-05-23,Irregular,2,ATM,SMS,42,0.59,0.9,Unemployed,Low,Emergency,Stage 1,7,Escalate,45,40672.89955015251,15,SMS,Ignored,High,8–30,High,0.9791259000418269,2025-07-04,1
ACCT00086,User_86,0.0,30,79525.80856640323,2025-07-06,Car Loan,South,2025-06-02,Weekly,2,ATM,SMS,41,0.94,0.81,Unemployed,Medium,Investment,Stage 2,7,Send SMS,28,40156.07448509797,60,Voice,Ignored,High,8–30,Mid,0.8564934661170565,2025-07-04,1
ACCT00087,User_87,2.250804235404148,21,61042.758804275334,2025-06-29,Car Loan,Bangkok,2025-06-17,Weekly,5,MobileApp,LINE,25,0.03,0.34,Salaried,Low,Consumption,Stage 2,8,LINE Bot,20,80793.74162112933,21,Voice,Slow,Low,8–30,High,0.6296598785103233,2025-06-22,0
ACCT00088,User_88,1.377502219319369,0,6526.306616922738,2025-06-29,Home Loan,Bangkok,2025-05-27,Monthly,3,BankBranch,LINE,72,0.29,0.22,Salaried,High,Investment,Stage 0,9,Escalate,42,71876.19987407872,44,LINE,Responsive,Low,0–7,High,0.5401004217654753,2025-06-24,0
ACCT00089,User_89,0.0,10,22239.50978277538,2025-06-21,Credit Card,Central,2025-05-27,Monthly,5,ATM,Phone,47,0.93,0.96,Freelancer,Medium,Emergency,Stage 2,6,Send SMS,44,21571.218595516897,19,Voice,Ignored,High,8–30,Mid,0.8116903695163066,2025-06-17,0
